conda environment activated
/home2/codepk37

Epoch 42: Accuracy=0.6183
Epoch 43: Accuracy=0.6228
Epoch 44: Accuracy=0.6217
Epoch 45: Accuracy=0.6198
Epoch 46: Accuracy=0.6347
Epoch 47: Accuracy=0.6268
Epoch 48: Accuracy=0.6143
Epoch 49: Accuracy=0.6158
Epoch 50: Accuracy=0.6238

Running config: emb_dim=192, depth=4, heads=8, mlp_dim=768
Epoch 1: Accuracy=0.4530
Epoch 2: Accuracy=0.5286
Epoch 3: Accuracy=0.5406
Epoch 4: Accuracy=0.5566
Epoch 5: Accuracy=0.5849
Epoch 6: Accuracy=0.5920
Epoch 7: Accuracy=0.6152
Epoch 8: Accuracy=0.5944
Epoch 9: Accuracy=0.6164
Epoch 10: Accuracy=0.6090
Epoch 11: Accuracy=0.6217
Epoch 12: Accuracy=0.6129
Epoch 13: Accuracy=0.6168
Epoch 14: Accuracy=0.6121
Epoch 15: Accuracy=0.6113
Epoch 16: Accuracy=0.6051
Epoch 17: Accuracy=0.6055
Epoch 18: Accuracy=0.6084
Epoch 19: Accuracy=0.6073
Epoch 20: Accuracy=0.5966
Epoch 21: Accuracy=0.6062
Epoch 22: Accuracy=0.6064
Epoch 23: Accuracy=0.6095
Epoch 24: Accuracy=0.6069
Epoch 25: Accuracy=0.6142
Epoch 26: Accuracy=0.6048
Epoch 27: Accuracy=0.6106
Epoch 28: Accuracy=0.6156
Epoch 29: Accuracy=0.6045
Epoch 30: Accuracy=0.6065
Epoch 31: Accuracy=0.6102
Epoch 32: Accuracy=0.6157
Epoch 33: Accuracy=0.6050
Epoch 34: Accuracy=0.6180
Epoch 35: Accuracy=0.6119
Epoch 36: Accuracy=0.6085
Epoch 37: Accuracy=0.6033
Epoch 38: Accuracy=0.6012
Epoch 39: Accuracy=0.6083
Epoch 40: Accuracy=0.6111
Epoch 41: Accuracy=0.6048
Epoch 42: Accuracy=0.6106
Epoch 43: Accuracy=0.6034
Epoch 44: Accuracy=0.6123
Epoch 45: Accuracy=0.6096
Epoch 46: Accuracy=0.6142
Epoch 47: Accuracy=0.6045
Epoch 48: Accuracy=0.6088
Epoch 49: Accuracy=0.6155
Epoch 50: Accuracy=0.6094

Running config: emb_dim=192, depth=6, heads=4, mlp_dim=1024
Epoch 1: Accuracy=0.4685
Epoch 2: Accuracy=0.5311
Epoch 3: Accuracy=0.5538
Epoch 4: Accuracy=0.5853
Epoch 5: Accuracy=0.6075
Epoch 6: Accuracy=0.6167
Epoch 7: Accuracy=0.6237
Epoch 8: Accuracy=0.6343
Epoch 9: Accuracy=0.6325
Epoch 10: Accuracy=0.6382
Epoch 11: Accuracy=0.6366
Epoch 12: Accuracy=0.6306
Epoch 13: Accuracy=0.6263
Epoch 14: Accuracy=0.6284
Epoch 15: Accuracy=0.6301
Epoch 16: Accuracy=0.6275
Epoch 17: Accuracy=0.6271
Epoch 18: Accuracy=0.6323
Epoch 19: Accuracy=0.6329
Epoch 20: Accuracy=0.6388
Epoch 21: Accuracy=0.6360
Epoch 22: Accuracy=0.6282
Epoch 23: Accuracy=0.6290
Epoch 24: Accuracy=0.6357
Epoch 25: Accuracy=0.6319
Epoch 26: Accuracy=0.6277
Epoch 27: Accuracy=0.6308
Epoch 28: Accuracy=0.6309
Epoch 29: Accuracy=0.6263
Epoch 30: Accuracy=0.6303
Epoch 31: Accuracy=0.6386
Epoch 32: Accuracy=0.6313
Epoch 33: Accuracy=0.6321
Epoch 34: Accuracy=0.6302
Epoch 35: Accuracy=0.6331
Epoch 36: Accuracy=0.6314
Epoch 37: Accuracy=0.6239
Epoch 38: Accuracy=0.6208
Epoch 39: Accuracy=0.6317
Epoch 40: Accuracy=0.6338
Epoch 41: Accuracy=0.6311
Epoch 42: Accuracy=0.6319
Epoch 43: Accuracy=0.6281
Epoch 44: Accuracy=0.6312
Epoch 45: Accuracy=0.6294
Epoch 46: Accuracy=0.6384
Epoch 47: Accuracy=0.6373
Epoch 48: Accuracy=0.6362
Epoch 49: Accuracy=0.6326
Epoch 50: Accuracy=0.6298

Running config: emb_dim=192, depth=6, heads=4, mlp_dim=768
Epoch 1: Accuracy=0.4650
Epoch 2: Accuracy=0.5230
Epoch 3: Accuracy=0.5540
Epoch 4: Accuracy=0.5748
Epoch 5: Accuracy=0.6087
Epoch 6: Accuracy=0.6021
Epoch 7: Accuracy=0.6219
Epoch 8: Accuracy=0.6253
Epoch 9: Accuracy=0.6246
Epoch 10: Accuracy=0.6214
Epoch 11: Accuracy=0.6241
Epoch 12: Accuracy=0.6236
Epoch 13: Accuracy=0.6070
Epoch 14: Accuracy=0.6154
Epoch 15: Accuracy=0.6217
